DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-31,INR,45.95
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-31,INR,72.9525
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-31,INR,56.02
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-31,INR,62.54
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-28,INR,55.34
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-28,INR,62.73
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-28,INR,72.7312
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-28,INR,45.74
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-27,INR,45.57
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-27,INR,55.44
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-27,INR,62.46
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-27,INR,72.5019
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-25,INR,45.53
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-25,INR,72.7797
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-25,INR,62.14
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-25,INR,55.24
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-24,INR,55.08
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-24,INR,62.01
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-24,INR,45.58
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-24,INR,72.7913
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-21,INR,72.7818
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-21,INR,45.7
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-21,INR,61.65
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-21,INR,55.14
RBI:FOREX_RATE_D_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-20,INR,61.45
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-20,INR,45.58
RBI:FOREX_RATE_D_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-20,INR,55.53
RBI:FOREX_RATE_D_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-20,INR,72.732
RBI:FOREX_RATE_D_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-19,INR,45.38
